nome científico ,mod_elast,mod_rup,tensao_rup,densidade
Aldina Heteróphylla,10.486,61.152,14.014,0.73
Alexa grandiflora,10.388,48.706,12.152,0.53
Anacardium Giganteum,10.192,43.806,9.702,0.44
Andira Parviflora,11.27,68.306,13.818,0.67
Aspidosperma Obscurinervium,14.994,79.772,15.68,0.86
Brosimum Rubescens,13.524,77.028,14.994,0.91
Buchenavia Oxycarpa,12.838,75.068,15.778,0.72
Carapa Guianensis,9.898,48.608,9.604,0.43
Cariniana Integrifolia,9.898,43.61,7.938,0.49
Cendrelinga Catenaeformis,8.036,38.22,12.348,0.46
Clarisia Racemosa,9.8,62.916,12.054,0.59
Corythophora Rimosa,13.72,75.754,15.974,0.84
Couratari Stellata,12.74,63.21,13.426,0.6
Dipteryx Odorata,15.778,101.528,15.778,0.97
Dipteryx Polyphylla,14.504,90.356,16.562,0.83
Enterolobium Schomburgkii,12.642,63.406,14.504,0.68
Eschweilera Odora,14.7,63.21,15.778,0.81
Glycoxylon Inophyllum,13.426,47.824,12.936,0.73
Goupia Glabra,11.956,63.994,14.21,0.69
Guarea Trichiliodes,13.72,61.642,12.25,0.66
Hymenaea Courbaril,14.798,65.268,16.954,0.71
Hymenolobium Excelsum,12.936,73.01,13.72,0.66
Hymenolobium Pulcherrimum,11.858,64.974,12.544,0.67
Iryanthera tricornis,13.622,60.956,12.642,0.69
Jacaranda Copaia,8.036,28.224,5.096,0.35
Licania Oblongifolia,15.386,97.902,20.482,0.88
Licaria Aritu,15.19,86.436,16.17,0.79
Licaria Canela,18.718,120.54,18.032,1.04
Manilkara Huberi,15.582,82.81,21.56,0.92
Mezilaurus Itauba,13.034,51.45,11.564,0.7
Nectandra Rubra,9.604,43.316,8.036,0.52
Pithecelobium Racemosum,13.72,80.066,18.032,0.81
Pouteria Guianensis,15.288,94.178,14.014,0.9
Qualea Brevipedicellata,11.368,44.1,10.78,0.63
Qualea Paraensis,12.544,69.58,14.308,0.66
Schefflera Morototoni,11.074,39.788,10.192,0.4
Scleronema Micranthum,12.838,60.172,9.31,0.59
Simaruba Amara,7.056,29.792,7.546,0.35
Swartzza Panacoco,16.268,103.096,18.62,0.97
Tabebuia Serratifolia,16.562,100.058,16.562,0.87
