preco,cond,area,quarto,banheiro,suite,vagas.garagem,elevador,mobilia,piscina,novo,bairro,tipo
10000000.00,,343,4,7,4,5,0,0,0,0,Iguatemi/São Paulo,venda
9979947.00,,343,4,6,4,5,1,0,1,0,Iguatemi/São Paulo,venda
8500000.00,7200,420,4,6,4,4,1,0,1,0,Jardim Paulista/São Paulo,venda
8039200.00,,278,4,7,4,4,1,1,1,0,Vila Olimpia/São Paulo,venda
8000000.00,,278,4,5,3,5,1,0,1,0,Vila Olimpia/São Paulo,venda
8000000.00,,269,4,5,4,4,1,0,1,0,Itaim Bibi/São Paulo,venda
7765616.00,,279,4,6,4,4,1,0,1,0,Iguatemi/São Paulo,venda
7559420.00,,377,3,4,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
7559420.00,,377,3,4,3,4,0,0,1,0,Alto de Pinheiros/São Paulo,venda
7521000.00,2500,377,6,7,6,4,0,0,1,0,Alto de Pinheiros/São Paulo,venda
7500000,,275,4,5,4,4,1,0,1,0,Iguatemi/São Paulo,venda
7500000,7428,415,4,5,4,5,0,0,1,0,Jardim Paulista/São Paulo,venda
7200000,8920,387,4,5,4,4,0,0,0,0,Alto de Pinheiros/São Paulo,venda
7080000,,275,4,5,4,5,0,0,1,0,Iguatemi/São Paulo,venda
7000000,4500,400,4,5,4,5,0,1,1,0,Alto de Pinheiros/São Paulo,venda
6950000,5000,302,4,5,4,5,0,0,1,0,Moema/São Paulo,venda
6900000,7000,321,3,4,3,5,0,0,1,0,Itaim Bibi/São Paulo,venda
6800000,,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
6750000,,275,4,6,4,4,1,0,1,0,Iguatemi/São Paulo,venda
6500000,2900,319,3,4,3,4,0,0,0,0,Alto de Pinheiros/São Paulo,venda
6300000,5170,364,4,6,4,5,0,0,1,0,Alto de Pinheiros/São Paulo,venda
6000000,,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
6000000,3000,288,3,4,3,5,0,0,1,0,Moema/São Paulo,venda
5900000,4690,540,4,3,2,4,1,1,1,0,Itaim Bibi/São Paulo,venda
5850000,3746,286,4,5,4,4,0,0,1,0,Alto de Pinheiros/São Paulo,venda
5814000,,285,4,6,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
5800000,,286,4,6,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
5750000,4500,306,4,5,4,5,0,0,1,0,Moema/São Paulo,venda
5700000,4800,306,4,5,4,5,1,0,1,0,Moema/São Paulo,venda
5660121,,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
5630000,,286,4,6,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
5600000,5400,316,4,5,4,5,0,0,1,0,Moema/São Paulo,venda
5500000,5539,359,4,5,4,5,0,0,1,0,Alto de Pinheiros/São Paulo,venda
5500000,2700,253,4,5,4,4,1,1,1,0,Alto de Pinheiros/São Paulo,venda
5500000,3300,307,4,5,4,7,0,0,0,0,Perdizes/São Paulo,venda
5465644,,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,venda
5320000,3200,270,3,4,3,4,0,0,1,0,Perdizes/São Paulo,venda
